#time, encoder, angular velocity, steering angle
0.000000, 5278406, 0.001301, 0.016797
0.004686, 5278406, 0.003171, 0.016797
0.018631, 5278406, -0.001250, 0.016797
0.020497, 5278406, 0.003384, 0.016797
0.021303, 5278406, 0.002581, 0.016797
0.021645, 5278406, 0.001857, 0.016797
0.021853, 5278406, 0.003641, 0.015957
0.022319, 5278406, 0.010093, 0.016517
0.035298, 5278406, -0.007872, 0.016797
0.068910, 5278406, 0.024624, 0.016797
0.102127, 5278406, -0.011680, 0.016797
0.135035, 5278406, -0.003439, 0.017077
0.169142, 5278406, -0.013809, 0.017357
0.201945, 5278406, 0.005323, 0.017357
0.235124, 5278406, 0.013713, 0.017357
0.269060, 5278406, -0.001420, 0.017357
0.301949, 5278406, 0.001454, 0.017357
0.335230, 5278406, 0.001961, 0.017357
0.369351, 5278406, 0.007767, 0.017357
0.402043, 5278406, -0.003829, 0.017357
0.435773, 5278406, 0.003073, 0.017357
0.468774, 5278406, -0.002354, 0.017357
0.502158, 5278406, -0.007283, 0.017357
0.535336, 5278406, 0.003032, 0.017357
0.569415, 5278406, 0.000531, 0.017357
0.602100, 5278406, -0.008591, 0.017357
0.637816, 5278406, -0.005780, 0.017357
0.669271, 5278406, -0.008534, 0.017357
0.702797, 5278406, -0.006823, 0.017357
0.735328, 5278406, -0.004214, 0.017357
0.769166, 5278406, 0.001381, 0.017357
0.802066, 5278406, -0.004490, 0.017357
0.835399, 5278406, 0.003160, 0.017357
0.868543, 5278406, 0.001093, 0.017357
0.902125, 5278406, 0.001902, 0.017357
0.935484, 5278406, 0.001733, 0.017357
0.969651, 5278406, 0.000438, 0.017357
1.002111, 5278406, -0.000754, 0.017357
1.035452, 5278406, 0.000583, 0.017357
1.068600, 5278406, 0.010118, 0.017357
1.101613, 5278406, 0.003546, 0.017357
1.135125, 5278406, -0.004608, 0.017357
1.170618, 5278406, 0.010878, 0.017357
1.201921, 5278406, 0.001010, 0.017357
1.235635, 5278406, -0.003266, 0.017357
1.269794, 5278406, 0.002400, 0.017357
1.301531, 5278406, -0.000762, 0.017357
1.335413, 5278406, -0.004478, 0.017357
1.369337, 5278406, 0.005299, 0.017357
1.401916, 5278406, 0.004113, 0.017357
1.435198, 5278406, 0.003641, 0.017357
1.469508, 5278406, 0.003745, 0.017357
1.502402, 5278407, 0.001636, 0.017357
1.535588, 5278407, 0.003288, 0.017357
1.570129, 5278408, 0.003074, 0.017357
1.602608, 5278416, 0.004345, 0.017357
1.635583, 5278440, 0.010931, 0.017357
1.669056, 5278482, 0.007434, 0.017357
1.702403, 5278532, -0.001209, 0.017357
1.735866, 5278565, -0.003608, 0.017637
1.770467, 5278591, 0.000176, 0.018197
1.802177, 5278624, 0.000562, 0.019037
1.835301, 5278668, -0.003584, 0.019877
1.869190, 5278722, -0.004617, 0.020996
1.902413, 5278783, 0.010069, 0.022396
1.935952, 5278845, -0.004743, 0.023796
1.969439, 5278929, 0.001504, 0.024916
2.002860, 5279035, -0.003633, 0.026315
2.035752, 5279152, 0.007345, 0.027715
2.070212, 5279295, 0.000864, 0.028835
2.102228, 5279458, 0.009663, 0.030235
2.136286, 5279637, 0.007774, 0.031355
2.169128, 5279834, 0.006395, 0.032194
2.203031, 5280057, 0.004589, 0.033594
2.235631, 5280295, 0.005258, 0.034994
2.269829, 5280543, 0.007293, 0.035834
2.301603, 5280796, 0.004933, 0.036394
2.335123, 5281078, 0.006582, 0.036394
2.368989, 5281362, 0.004644, 0.036394
2.401567, 5281649, 0.003454, 0.036114
2.435482, 5281948, 0.010376, 0.035834
2.468895, 5282266, 0.002713, 0.035554
2.501942, 5282584, 0.014081, 0.035274
2.535736, 5282907, 0.004427, 0.034714
2.570015, 5283246, 0.005314, 0.034154
2.602237, 5283589, 0.011171, 0.033314
2.635490, 5283939, -0.003255, 0.032474
2.669747, 5284309, 0.006727, 0.031355
2.701755, 5284669, -0.007172, 0.029955
2.735452, 5285043, 0.017014, 0.028555
2.768662, 5285444, 0.009095, 0.026315
2.802755, 5285843, 0.015744, 0.024076
2.835123, 5286255, -0.006764, 0.021276
2.869373, 5286695, 0.008988, 0.018197
2.902551, 5287142, 0.008477, 0.015117
